maze_size,seed,transition_prob,gamma,alpha,epsilon,pi_time,pi_initial_utility,q_time,q_initial_utility
"(1, 7)",42,1.0,1.0,0.1,1.0,0.01941990852355957,4.800000000000001,0.005970001220703125,4.779857742453641
"(1, 7)",42,1.0,1.0,0.1,0.5,0.01846599578857422,4.800000000000001,0.004996776580810547,4.788093692902648
"(1, 7)",42,1.0,1.0,0.5,1.0,0.017614126205444336,4.800000000000001,0.006115436553955078,4.800000000000001
"(1, 7)",42,1.0,1.0,0.5,0.5,0.02194809913635254,4.800000000000001,0.005061626434326172,4.800000000000001
"(1, 7)",42,1.0,0.95,0.1,1.0,0.0011186599731445312,4.317500000000001,0.006005525588989258,4.296591065374538
"(1, 7)",42,1.0,0.95,0.1,0.5,0.0020012855529785156,4.317500000000001,0.004996299743652344,4.306755200295
"(1, 7)",42,1.0,0.95,0.5,1.0,0.0009970664978027344,4.317500000000001,0.006390810012817383,4.317500000000001
"(1, 7)",42,1.0,0.95,0.5,0.5,0.0009989738464355469,4.317500000000001,0.006947517395019531,4.317500000000001
"(1, 7)",42,0.6,1.0,0.1,1.0,0.027353763580322266,0.8,0.006970882415771484,2.3619051514142524
"(1, 7)",42,0.6,1.0,0.1,0.5,0.028237104415893555,0.8,0.010906219482421875,2.755030019247486
"(1, 7)",42,0.6,1.0,0.5,1.0,0.033251285552978516,0.8,0.009029388427734375,3.981095273734434
"(1, 7)",42,0.6,1.0,0.5,0.5,0.028908729553222656,0.8,0.011695146560668945,2.8157955027019623
"(1, 7)",42,0.6,0.95,0.1,1.0,0.027014970779418945,0.7075,0.008538246154785156,2.0459463044067663
"(1, 7)",42,0.6,0.95,0.1,0.5,0.027188777923583984,0.7075,0.010202884674072266,2.1068622591851924
"(1, 7)",42,0.6,0.95,0.5,1.0,0.027655601501464844,0.7075,0.009682655334472656,3.467241292669933
"(1, 7)",42,0.6,0.95,0.5,0.5,0.02809619903564453,0.7075,0.01118779182434082,1.8346359951025262
"(1, 7)",259,1.0,1.0,0.1,1.0,0.01899409294128418,4.800000000000001,0.011201620101928711,4.78982294060444
"(1, 7)",259,1.0,1.0,0.1,0.5,0.022721290588378906,4.800000000000001,0.006037235260009766,4.7838552105257035
"(1, 7)",259,1.0,1.0,0.5,1.0,0.021405458450317383,4.800000000000001,0.006207942962646484,4.800000000000001
"(1, 7)",259,1.0,1.0,0.5,0.5,0.01800251007080078,4.800000000000001,0.0059435367584228516,4.800000000000001
"(1, 7)",259,1.0,0.95,0.1,1.0,0.002056121826171875,4.317500000000001,0.00623631477355957,4.308315345137797
"(1, 7)",259,1.0,0.95,0.1,0.5,0.0010006427764892578,4.317500000000001,0.004934549331665039,4.302931066780296
"(1, 7)",259,1.0,0.95,0.5,1.0,0.001131296157836914,4.317500000000001,0.006226062774658203,4.317500000000001
"(1, 7)",259,1.0,0.95,0.5,0.5,0.0010733604431152344,4.317500000000001,0.005663871765136719,4.317500000000001
"(1, 7)",259,0.6,1.0,0.1,1.0,0.005133628845214844,4.800000000000001,0.008176803588867188,2.4578986666240734
"(1, 7)",259,0.6,1.0,0.1,0.5,0.004003047943115234,4.800000000000001,0.010180473327636719,2.9519427767041693
"(1, 7)",259,0.6,1.0,0.5,1.0,0.003322601318359375,4.800000000000001,0.012250661849975586,3.9078415634087547
"(1, 7)",259,0.6,1.0,0.5,0.5,0.005085945129394531,4.800000000000001,0.012003421783447266,3.9360722729342488
"(1, 7)",259,0.6,0.95,0.1,1.0,0.00415349006652832,4.317500000000001,0.010001420974731445,1.8334416888499272
"(1, 7)",259,0.6,0.95,0.1,0.5,0.004098653793334961,4.317500000000001,0.012027740478515625,1.9702221461479827
"(1, 7)",259,0.6,0.95,0.5,1.0,0.006449222564697266,4.317500000000001,0.010146379470825195,3.852969319265366
"(1, 7)",259,0.6,0.95,0.5,0.5,0.0050051212310791016,4.317500000000001,0.014010906219482422,2.1370669447364365
